Date,Close price,Revenue,Net income,D/E Ratio,ROIC
8/2/2018,75.190002,1412.00 ,227.00 ,3.04,0.23
8/3/2018,76.25,1412.00 ,227.00 ,3.04,0.23
8/6/2018,76.900002,1412.00 ,227.00 ,3.04,0.23
8/7/2018,77.050003,1412.00 ,227.00 ,3.04,0.23
8/8/2018,77.580002,1412.00 ,227.00 ,3.04,0.23
8/9/2018,78.639999,1412.00 ,227.00 ,3.04,0.23
8/10/2018,79.239998,1412.00 ,227.00 ,3.04,0.23
8/13/2018,79.269997,1412.00 ,227.00 ,3.04,0.23
8/14/2018,79.029999,1412.00 ,227.00 ,3.04,0.23
8/15/2018,78.690002,1412.00 ,227.00 ,3.04,0.23
8/16/2018,78.919998,1412.00 ,227.00 ,3.04,0.23
8/17/2018,79.440002,1412.00 ,227.00 ,3.04,0.23
8/20/2018,79.589996,1412.00 ,227.00 ,3.04,0.23
8/21/2018,79.440002,1412.00 ,227.00 ,3.04,0.23
8/22/2018,79.660004,1412.00 ,227.00 ,3.04,0.23
8/23/2018,79.650002,1412.00 ,227.00 ,3.04,0.23
8/24/2018,80.029999,1412.00 ,227.00 ,3.04,0.23
8/27/2018,79.709999,1412.00 ,227.00 ,3.04,0.23
8/28/2018,78.440002,1412.00 ,227.00 ,3.04,0.23
8/29/2018,79.639999,1412.00 ,227.00 ,3.04,0.23
8/30/2018,79.559998,1412.00 ,227.00 ,3.04,0.23
8/31/2018,80.07,1412.00 ,227.00 ,3.04,0.23
9/4/2018,79.980003,1412.00 ,227.00 ,3.04,0.23
9/5/2018,79.709999,1412.00 ,227.00 ,3.04,0.23
9/6/2018,80.370003,1412.00 ,227.00 ,3.04,0.23
9/7/2018,79.919998,1412.00 ,227.00 ,3.04,0.23
9/10/2018,80.389999,1412.00 ,227.00 ,3.04,0.23
9/11/2018,80.790001,1412.00 ,227.00 ,3.04,0.23
9/12/2018,80.779999,1412.00 ,227.00 ,3.04,0.23
9/13/2018,81.089996,1412.00 ,227.00 ,3.04,0.23
9/14/2018,81.339996,1412.00 ,227.00 ,3.04,0.23
9/17/2018,80.080002,1412.00 ,227.00 ,3.04,0.23
9/18/2018,80.279999,1412.00 ,227.00 ,3.04,0.23
9/19/2018,79.419998,1412.00 ,227.00 ,3.04,0.23
9/20/2018,80.120003,1412.00 ,227.00 ,3.04,0.23
9/21/2018,81.440002,1412.00 ,227.00 ,3.04,0.23
9/24/2018,80.919998,1412.00 ,227.00 ,3.04,0.23
9/25/2018,81.68,1412.00 ,227.00 ,3.04,0.23
9/26/2018,81.650002,1412.00 ,227.00 ,3.04,0.23
9/27/2018,81.629997,1412.00 ,227.00 ,3.04,0.23
9/28/2018,82.379997,1412.00 ,227.00 ,3.04,0.23
10/1/2018,81.529999,1551.00 ,286.00 ,3.91,0.23
10/2/2018,81.849998,1551.00 ,286.00 ,3.91,0.23
10/3/2018,81.68,1551.00 ,286.00 ,3.91,0.23
10/4/2018,80.470001,1551.00 ,286.00 ,3.91,0.23
10/5/2018,81.059998,1551.00 ,286.00 ,3.91,0.23
10/8/2018,80.610001,1551.00 ,286.00 ,3.91,0.23
10/9/2018,80.760002,1551.00 ,286.00 ,3.91,0.23
10/10/2018,77.010002,1551.00 ,286.00 ,3.91,0.23
10/11/2018,75.900002,1551.00 ,286.00 ,3.91,0.23
